

Results from query to  NASA/IPAC Extragalactic Database (NED),
which is funded by the National Aeronautics and Space Administration.
and operated by the California Institute of Technology.


queryDateTime:2023-07-24T23:33:28PDT



Main Information Table for All Sky, chosen by params



Equinox:J2000.0



CoordSystem:Equatorial

No.|Object Name|RA|DEC|Type|Velocity|Redshift|Redshift Flag|Magnitude and Filter|Separation|References|Notes|Photometry Points|Positions|Redshift Points|Diameter Points|Associations
74|CANDELS J033232.06-275041.7| 53.13354 | -27.84492 |IrS|2788070| 9.300000 |PUN |     |  0.000|7|0|0|4|4|0|0
75|UDF:[CBS2006] 41249| 53.13559 | -27.79177 |VisS|2404336| 8.020000 |PUN |31.1V|  0.000|3|0|7|3|3|0|0
76|HRG14 J033232.81-275014.7| 53.13672 | -27.83741 |IrS|2434315| 8.120000 |PUN |     |  0.000|1|0|0|1|1|0|0
77|CANDELS J033233.23-275130.4| 53.13846 | -27.85846 |G|2431317| 8.110000 |PUN |     |  0.000|3|0|1|2|1|0|0
78|SSTSL2 J033233.83-274519.0| 53.14111 | -27.75532 |G|2560228| 8.540000 |PUN |     |  0.000|1|0|10|2|2|0|0
79|CANDELS J033235.00-274921.6| 53.14583 | -27.82267 |G|2638174| 8.800000 |PUN |     |  0.000|5|0|1|4|4|0|0
80|[MDB2013] UDF12-3762-6011| 53.15675 | -27.76697 |G|2428319| 8.100000 |PUN |     |  0.000|2|0|0|2|3|0|0
81|CANDELS J033237.63-274601.4| 53.15679 | -27.76708 |G|2431317| 8.110000 |PUN |28.7J|  0.000|14|0|24|10|6|0|0
82|[MDB2013] UDF12-3763-6015| 53.15679 | -27.76708 |G|2488278| 8.300000 |PUN |     |  0.000|1|0|0|1|2|0|0
83|CANDELS J033237.79-274600.0| 53.15746 | -27.76667 |G|2404336| 8.020000 |PUN |28.0J|  0.000|20|0|24|15|10|0|0
84|CANDELS J033237.79-274234.4| 53.15746 | -27.70956 |IrS|2668153| 8.900000 |PUN |26.8H|  0.000|5|0|5|4|2|0|0
85|XDFj 38126243| 53.15883 | -27.77342 |G|2967946| 9.900000 |PUN |     |  0.000|4|0|1|4|4|0|0
86|CANDELS J033238.13-274553.9| 53.15888 | -27.76497 |G|2431317| 8.110000 |PUN |28.6J|  0.000|27|0|35|17|11|0|0
87|[BIO2015] XDFY 2382745561| 53.15946 | -27.76558 |G|2458298| 8.200000 |PUN |     |  0.000|1|0|1|1|1|0|0
88|UDF12 38957114| 53.16229 | -27.78650 |IrS|2578216| 8.600000 |PUN |     |  0.000|1|0|0|1|2|0|0
89|[MDB2013] UDF12-3917-5449| 53.16321 | -27.76247 |G|2428319| 8.100000 |PUN |     |  0.000|1|0|0|1|2|0|0
90|UDF12 39216322| 53.16338 | -27.77561 |IrS|2638174| 8.800000 |PUN |     |  0.000|1|0|0|1|2|0|0
91|[MDB2013] UDF12-3921-6322| 53.16338 | -27.77561 |G|2485280| 8.290000 |PUN |     |  0.000|4|0|3|4|4|0|0
92|UDFy 39468075| 53.16442 | -27.80208 |IrS|2578216| 8.600000 |PUN |28.6H|  0.000|4|0|3|4|2|0|0
93|UDF:[MDC2010] 1422| 53.16467 | -27.78814 |IrS|2491276| 8.310000 |PUN |28.0J|  0.000|2|0|3|2|2|0|0
94|UDF:[MDC2010] 1092| 53.16479 | -27.78819 |VisS|2449305| 8.170000 |PUN |29.6z|  0.000|4|0|7|3|3|0|0
95|CANDELS J033239.58-275347.6| 53.16494 | -27.89657 |VisS|2431317| 8.110000 |PUN |     |  0.000|3|0|1|2|1|0|0
96|S-CANDELS J033239.96-274202.1 | 53.16650 | -27.70053 |VisS|2608195| 8.700000 |PUN |26.4H|  0.000|5|0|19|4|2|0|0
97|XDFyj 40248004| 53.16767 | -27.80011 |G|2668153| 8.900000 |PUN |     |  0.000|3|0|1|3|4|0|0
98|[FPS2012] HUDF_4517| 53.16804 | -27.80073 |G|2449305| 8.170000 |PUN |     |  0.000|1|0|0|1|2|0|0
99|UDF NICMOS 0937| 53.17057 | -27.79495 |VisS|2567123| 8.563000 |PUN |33.3i|  0.000|2|0|10|1|1|0|0
100|UDF12 41067304| 53.17108 | -27.79178 |IrS|2848029| 9.500000 |PUN |     |  0.000|1|0|0|1|2|0|0
101|HRG14 J033241.49-274751.0| 53.17287 | -27.79749 |IrS|2431317| 8.110000 |PUN |     |  0.000|1|0|0|1|1|0|0
102|[OBI2013] 42126501| 53.17550 | -27.78058 |G|2848029| 9.500000 |PUN |     |  0.000|1|0|0|1|2|0|0
103|UDF12 42657049| 53.17771 | -27.78469 |IrS|2848029| 9.500000 |PUN |     |  0.000|1|0|0|1|2|0|0
104|[MDB2013] UDF12-4265-7049| 53.17771 | -27.78469 |G|2848029| 9.500000 |PUN |     |  0.000|1|0|0|1|2|0|0
105|[BIO2015] ERSZ 2426541434| 53.17771 | -27.69539 |G|2485280| 8.290000 |PUN |     |  0.000|1|0|1|1|1|0|0
106|HRG14 J033243.08-274624.2| 53.17950 | -27.77339 |G|2449305| 8.170000 |PUN |     |  0.000|4|0|4|4|4|0|0
107|[OBI2013] 43286481| 53.18033 | -27.78003 |G|3117842|10.400000 |PUN |     |  0.000|1|0|0|1|2|0|0
108|HRG14 J033243.35-274620.4| 53.18067 | -27.77231 |G|2467292| 8.230000 |PUN |     |  0.000|2|0|0|2|1|0|0
109|UDF12 43446547| 53.18100 | -27.78186 |IrS|2638174| 8.800000 |PUN |     |  0.000|2|0|0|1|2|0|0
110|[MDB2013] UDF12-4344-6547| 53.18100 | -27.78186 |G|2638174| 8.800000 |PUN |     |  0.000|1|0|0|1|2|0|0
